UWI,Formatted UWI,License Number,Formation,Lab Name,Test Interval Top (m),Test Interval Bottom (m),Condensate Flag,Sample Point Description,Sample Pressure,Sample Temperature,Received Pressure,Received Temperature,H2S,CO2,N2,H2,HE,C1,C2,C3,IC4,NC4,IC5,NC5,C6,C7 Plus,C7,C8,C9,C10 Plus,Gas Relative Density,Gas Molecular Weight,Gas Gross Heat Value Moisture Free,Gas Gross Heat Value Moisture And Acid Gas Free,Calculated PCP Sampled,Calculated TCP Sampled,Molecular Weight Of C7 Plus,Province,Sample Date
100061908124W402,100/06-19-081-24W4/02,0144063,COMMINGLED POOL 001,AGAT Laboratories Ltd.,423.5,427.0,N,WELLHEAD,100.0,8.0,230.0,21.0,0.0,0.0269,0.0016,0.0002,0.0001,0.9694,0.0009,0.0002,0.0002,0.0,0.0001,0.0,0.0,0.0004,,,,,0.583,16.9,,37.85,4669.73,193.82,114.2,AB,2014-04-08
100062108024W403,100/06-21-080-24W4/03,0247443,COMMINGLED,AGAT Laboratories Ltd.,314.5,374.3,N,WELLHEAD,250.0,-10.0,290.0,21.0,0.0,0.0086,0.0027,0.0003,0.0001,0.9869,0.001,0.0003,0.0,0.0,0.0,0.0,0.0001,0.0,,,,,0.564,16.3,,37.73,4618.23,191.5,,AB,2011-11-16
100063008124W400,100/06-30-081-24W4/00,0265002,COMMINGLED POOL 001,AGAT Laboratories Ltd.,292.0,384.5,N,WELLHEAD,100.0,8.0,250.0,21.0,0.0,0.0024,0.0038,0.0,0.0001,0.9893,0.001,0.0004,0.0011,0.0005,0.0007,0.0003,0.0002,0.0002,,,,,0.564,16.3,,38.0,4597.39,191.52,107.2,AB,2014-04-08
100063008124W400,100/06-30-081-24W4/00,0265002,COMMINGLED,AGAT Laboratories Ltd.,292.0,384.5,N,WELLHEAD,,,470.0,21.0,0.0,0.0021,0.0037,0.0,0.0001,0.9897,0.0011,0.0004,0.0007,0.0007,0.0005,0.0003,0.0004,0.0003,,,,,0.564,16.3,,38.01,4596.67,191.51,104.9,AB,2015-06-03
100063008124W400,100/06-30-081-24W4/00,0265002,COMMINGLED,AGAT Laboratories Ltd.,292.0,384.5,N,WELLHEAD,130.0,8.0,120.0,21.0,0.0,0.0023,0.0001,0.0005,0.0001,0.993,0.0013,0.0002,0.0007,0.0007,0.0004,0.0003,0.0002,0.0002,,,,,0.561,16.3,,38.07,4600.65,191.55,107.2,AB,2012-06-11
100071008225W400,100/07-10-082-25W4/00,0233433,COMMINGLED,AGAT Laboratories Ltd.,299.0,347.0,N,WELLHEAD,210.0,-10.0,80.0,21.0,0.0,0.0014,0.0025,0.0,0.0001,0.9941,0.0005,0.0002,0.0004,0.0003,0.0003,0.0001,0.0001,0.0,,,,,0.559,16.2,,37.83,4598.23,190.93,,AB,2011-11-16
100071008225W400,100/07-10-082-25W4/00,0233433,COMMINGLED,AGAT Laboratories Ltd.,299.0,347.0,N,WELLHEAD,370.0,10.0,650.0,21.0,0.0,0.0012,0.0046,0.0009,0.0001,0.9897,0.001,0.0005,0.0006,0.0006,0.0004,0.0002,0.0001,0.0001,,,,,0.561,16.2,,37.84,4591.35,190.95,100.2,AB,2012-07-08
100071108225W403,100/07-11-082-25W4/03,0062908,COMMINGLED,AGAT Laboratories Ltd.,328.6,367.6,N,WELLHEAD,200.0,8.0,180.0,21.0,0.0,0.0029,0.0035,0.0,0.0001,0.9886,0.0013,0.0004,0.0007,0.0008,0.0006,0.0004,0.0004,0.0003,,,,,0.565,16.4,,38.05,4598.89,191.71,100.2,AB,2015-06-03
100071108225W403,100/07-11-082-25W4/03,0062908,COMMINGLED,AGAT Laboratories Ltd.,328.6,367.6,N,WELLHEAD,140.0,8.0,115.0,21.0,0.0,0.0043,0.0035,0.0001,0.0001,0.9867,0.0015,0.0004,0.0008,0.0009,0.0006,0.0004,0.0004,0.0003,,,,,0.567,16.4,,38.07,4602.32,191.92,100.2,AB,2012-06-15
100071108225W403,100/07-11-082-25W4/03,0062908,COMMINGLED,AGAT Laboratories Ltd.,328.6,367.6,N,WELLHEAD,100.0,8.0,420.0,21.0,0.0,0.0031,0.0038,0.0001,0.0001,0.9886,0.0012,0.0004,0.0007,0.0007,0.0005,0.0003,0.0003,0.0002,,,,,0.564,16.3,,37.97,4599.39,191.54,100.2,AB,2014-04-12
100071108225W403,100/07-11-082-25W4/03,0062908,COMMINGLED,AGAT Laboratories Ltd.,328.6,367.6,N,WELLHEAD,240.0,7.0,120.0,21.0,0.0,0.0027,0.0037,0.0002,0.0001,0.9891,0.0013,0.0004,0.0005,0.0007,0.0005,0.0003,0.0002,0.0003,,,,,0.564,16.3,,37.97,4598.19,191.47,114.2,AB,2011-11-16
100080708124W403,100/08-07-081-24W4/03,0299099,COMMINGLED POOL 001,AGAT Laboratories Ltd.,429.2,430.2,N,WELLHEAD,100.0,8.0,210.0,21.0,0.0,0.0204,0.0012,0.0001,0.0001,0.9773,0.0005,0.0002,0.0001,0.0,0.0001,0.0,0.0,0.0,,,,,0.575,16.6,,37.77,4653.31,192.91,,AB,2014-04-05
